NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;produksi;satuan;tahun
1;15;JAMBI;1504;BATANGHARI;KELAPA DALAM;302;TON;2022
2;15;JAMBI;1505;MUARO JAMBI;KELAPA DALAM;566;TON;2022
3;15;JAMBI;1508;BUNGO;KELAPA DALAM;520;TON;2022
4;15;JAMBI;1509;TEBO;KELAPA DALAM;417;TON;2022
5;15;JAMBI;1502;MERANGIN;KELAPA DALAM;746;TON;2022
6;15;JAMBI;1503;SAROLANGUN;KELAPA DALAM;195;TON;2022
7;15;JAMBI;1506;TANJAB BARAT;KELAPA DALAM;54081;TON;2022
8;15;JAMBI;1507;TANJAB TIMUR;KELAPA DALAM;57295;TON;2022
9;15;JAMBI;1501;KERINCI;KELAPA DALAM;13;TON;2022
10;15;JAMBI;1572;SUNGAI PENUH;KELAPA DALAM;3;TON;2022
11;15;JAMBI;1504;BATANGHARI;KELAPA DALAM;302;TON;2023
12;15;JAMBI;1505;MUARO JAMBI;KELAPA DALAM;579;TON;2023
13;15;JAMBI;1508;BUNGO;KELAPA DALAM;541;TON;2023
14;15;JAMBI;1509;TEBO;KELAPA DALAM;416;TON;2023
15;15;JAMBI;1502;MERANGIN;KELAPA DALAM;746;TON;2023
16;15;JAMBI;1503;SAROLANGUN;KELAPA DALAM;195;TON;2023
17;15;JAMBI;1506;TANJAB BARAT;KELAPA DALAM;54265;TON;2023
18;15;JAMBI;1507;TANJAB TIMUR;KELAPA DALAM;57288;TON;2023
19;15;JAMBI;1501;KERINCI;KELAPA DALAM;12;TON;2023
20;15;JAMBI;1572;SUNGAI PENUH;KELAPA DALAM;3;TON;2023
