NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1501;KELAPA SAWIT;40;KEPALA KELUARGA;2024
2;15;JAMBI;1502;KELAPA SAWIT;43318;KEPALA KELUARGA;2024
3;15;JAMBI;1503;KELAPA SAWIT;28403;KEPALA KELUARGA;2024
4;15;JAMBI;1504;KELAPA SAWIT;65146;KEPALA KELUARGA;2024
5;15;JAMBI;1505;KELAPA SAWIT;64954;KEPALA KELUARGA;2024
6;15;JAMBI;1506;KELAPA SAWIT;32684;KEPALA KELUARGA;2024
7;15;JAMBI;1507;KELAPA SAWIT;12725;KEPALA KELUARGA;2024
8;15;JAMBI;1508;KELAPA SAWIT;26386;KEPALA KELUARGA;2024
9;15;JAMBI;1509;KELAPA SAWIT;22653;KEPALA KELUARGA;2024
10;15;JAMBI;1501;KELAPA SAWIT;40;KEPALA KELUARGA;2023
11;15;JAMBI;1502;KELAPA SAWIT;43152;KEPALA KELUARGA;2023
12;15;JAMBI;1503;KELAPA SAWIT;27630;KEPALA KELUARGA;2023
13;15;JAMBI;1504;KELAPA SAWIT;64966;KEPALA KELUARGA;2023
14;15;JAMBI;1505;KELAPA SAWIT;64815;KEPALA KELUARGA;2023
15;15;JAMBI;1506;KELAPA SAWIT;32397;KEPALA KELUARGA;2023
16;15;JAMBI;1507;KELAPA SAWIT;11619;KEPALA KELUARGA;2023
17;15;JAMBI;1508;KELAPA SAWIT;25461;KEPALA KELUARGA;2023
18;15;JAMBI;1509;KELAPA SAWIT;22156;KEPALA KELUARGA;2023
19;15;JAMBI;1501;KELAPA SAWIT;40;KEPALA KELUARGA;2022
20;15;JAMBI;1502;KELAPA SAWIT;43010;KEPALA KELUARGA;2022
21;15;JAMBI;1503;KELAPA SAWIT;26848;KEPALA KELUARGA;2022
22;15;JAMBI;1504;KELAPA SAWIT;64966;KEPALA KELUARGA;2022
23;15;JAMBI;1505;KELAPA SAWIT;62450;KEPALA KELUARGA;2022
24;15;JAMBI;1506;KELAPA SAWIT;32199;KEPALA KELUARGA;2022
25;15;JAMBI;1507;KELAPA SAWIT;11638;KEPALA KELUARGA;2022
26;15;JAMBI;1508;KELAPA SAWIT;26820;KEPALA KELUARGA;2022
27;15;JAMBI;1509;KELAPA SAWIT;21624;KEPALA KELUARGA;2022
