NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1501;KOPI ROBUSTA;7593;KEPALA KELUARGA;2024
2;15;JAMBI;1502;KOPI ROBUSTA;9584;KEPALA KELUARGA;2024
3;15;JAMBI;1503;KOPI ROBUSTA;1111;KEPALA KELUARGA;2024
4;15;JAMBI;1504;KOPI ROBUSTA;0;KEPALA KELUARGA;2024
5;15;JAMBI;1505;KOPI ROBUSTA;553;KEPALA KELUARGA;2024
6;15;JAMBI;1508;KOPI ROBUSTA;694;KEPALA KELUARGA;2024
7;15;JAMBI;1509;KOPI ROBUSTA;223;KEPALA KELUARGA;2024
8;15;JAMBI;1572;KOPI ROBUSTA;824;KEPALA KELUARGA;2024
9;15;JAMBI;1501;KOPI ROBUSTA;7568;KEPALA KELUARGA;2023
10;15;JAMBI;1502;KOPI ROBUSTA;9533;KEPALA KELUARGA;2023
11;15;JAMBI;1503;KOPI ROBUSTA;1111;KEPALA KELUARGA;2023
12;15;JAMBI;1504;KOPI ROBUSTA;0;KEPALA KELUARGA;2023
13;15;JAMBI;1505;KOPI ROBUSTA;553;KEPALA KELUARGA;2023
14;15;JAMBI;1508;KOPI ROBUSTA;680;KEPALA KELUARGA;2023
15;15;JAMBI;1509;KOPI ROBUSTA;245;KEPALA KELUARGA;2023
16;15;JAMBI;1572;KOPI ROBUSTA;520;KEPALA KELUARGA;2023
17;15;JAMBI;1501;KOPI ROBUSTA;7568;KEPALA KELUARGA;2022
18;15;JAMBI;1502;KOPI ROBUSTA;9513;KEPALA KELUARGA;2022
19;15;JAMBI;1503;KOPI ROBUSTA;991;KEPALA KELUARGA;2022
20;15;JAMBI;1504;KOPI ROBUSTA;25;KEPALA KELUARGA;2022
21;15;JAMBI;1505;KOPI ROBUSTA;612;KEPALA KELUARGA;2022
22;15;JAMBI;1508;KOPI ROBUSTA;676;KEPALA KELUARGA;2022
23;15;JAMBI;1509;KOPI ROBUSTA;264;KEPALA KELUARGA;2022
24;15;JAMBI;1572;KOPI ROBUSTA;520;KEPALA KELUARGA;2022
