kode_provinsi ;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;data_pokok;tahun_ajaran;status;jenjang_pendidikan;jumlah
15;JAMBI;1501;150108;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;150108;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1501;150108;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;2
15;JAMBI;1501;150108;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1501;150108;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;150104;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;150104;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;150104;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1501;150104;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
15;JAMBI;1501;150104;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1501;150104;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;150116;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;150116;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;150116;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1501;150116;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
15;JAMBI;1501;150116;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1501;150116;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;150118;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;150118;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;150118;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1501;150118;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1501;150118;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1501;150118;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;1
15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;3
15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;2
15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
