id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;posyandu_aktif_posbindu_ptm;strata posyandu;jumlah;satuan;tahun
1;15;JAMBI;1501;POSYANDU;PRATAMA;10;unit;2022
2;15;JAMBI;1502;POSYANDU;PRATAMA;41;unit;2022
3;15;JAMBI;1503;POSYANDU;PRATAMA;3;unit;2022
4;15;JAMBI;1504;POSYANDU;PRATAMA;3;unit;2022
5;15;JAMBI;1505;POSYANDU;PRATAMA;7;unit;2022
6;15;JAMBI;1507;POSYANDU;PRATAMA;1;unit;2022
7;15;JAMBI;1506;POSYANDU;PRATAMA;0;unit;2022
8;15;JAMBI;1509;POSYANDU;PRATAMA;14;unit;2022
9;15;JAMBI;1508;POSYANDU;PRATAMA;7;unit;2022
10;15;JAMBI;1571;POSYANDU;PRATAMA;5;unit;2022
11;15;JAMBI;1572;POSYANDU;PRATAMA;0;unit;2022
12;15;JAMBI;1501;POSYANDU;MADYA;123;unit;2022
13;15;JAMBI;1502;POSYANDU;MADYA;88;unit;2022
14;15;JAMBI;1503;POSYANDU;MADYA;51;unit;2022
15;15;JAMBI;1504;POSYANDU;MADYA;50;unit;2022
16;15;JAMBI;1505;POSYANDU;MADYA;101;unit;2022
17;15;JAMBI;1507;POSYANDU;MADYA;26;unit;2022
18;15;JAMBI;1506;POSYANDU;MADYA;2;unit;2022
19;15;JAMBI;1509;POSYANDU;MADYA;66;unit;2022
20;15;JAMBI;1508;POSYANDU;MADYA;57;unit;2022
21;15;JAMBI;1571;POSYANDU;MADYA;125;unit;2022
22;15;JAMBI;1572;POSYANDU;MADYA;0;unit;2022
23;15;JAMBI;1501;POSYANDU;PURNAMA;149;unit;2022
24;15;JAMBI;1502;POSYANDU;PURNAMA;194;unit;2022
25;15;JAMBI;1503;POSYANDU;PURNAMA;197;unit;2022
26;15;JAMBI;1504;POSYANDU;PURNAMA;132;unit;2022
27;15;JAMBI;1505;POSYANDU;PURNAMA;243;unit;2022
28;15;JAMBI;1507;POSYANDU;PURNAMA;199;unit;2022
29;15;JAMBI;1506;POSYANDU;PURNAMA;168;unit;2022
30;15;JAMBI;1509;POSYANDU;PURNAMA;151;unit;2022
31;15;JAMBI;1508;POSYANDU;PURNAMA;169;unit;2022
32;15;JAMBI;1571;POSYANDU;PURNAMA;298;unit;2022
