NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;produksi;satuan;tahun
1;15;JAMBI;1504;BATANGHARI;KELAPA SAWIT;318562;TON;2022
2;15;JAMBI;1505;MUARO JAMBI;KELAPA SAWIT;233551;TON;2022
3;15;JAMBI;1508;BUNGO;KELAPA SAWIT;106646;TON;2022
4;15;JAMBI;1509;TEBO;KELAPA SAWIT;119639;TON;2022
5;15;JAMBI;1502;MERANGIN;KELAPA SAWIT;145982;TON;2022
6;15;JAMBI;1503;SAROLANGUN;KELAPA SAWIT;99750;TON;2022
7;15;JAMBI;1506;TANJAB BARAT;KELAPA SAWIT;145538;TON;2022
8;15;JAMBI;1507;TANJAB TIMUR;KELAPA SAWIT;76378;TON;2022
9;15;JAMBI;1501;KERINCI;KELAPA SAWIT;32;TON;2022
10;15;JAMBI;1504;BATANGHARI;KELAPA SAWIT;329228;TON;2023
11;15;JAMBI;1505;MUARO JAMBI;KELAPA SAWIT;233551;TON;2023
12;15;JAMBI;1508;BUNGO;KELAPA SAWIT;106646;TON;2023
13;15;JAMBI;1509;TEBO;KELAPA SAWIT;119543;TON;2023
14;15;JAMBI;1502;MERANGIN;KELAPA SAWIT;183133;TON;2023
15;15;JAMBI;1503;SAROLANGUN;KELAPA SAWIT;106230;TON;2023
16;15;JAMBI;1506;TANJAB BARAT;KELAPA SAWIT;152563;TON;2023
17;15;JAMBI;1507;TANJAB TIMUR;KELAPA SAWIT;76378;TON;2023
18;15;JAMBI;1501;KERINCI;KELAPA SAWIT;32;TON;2023
