code_provinsi;nama_provinsi;mandiri;maju;berkembang;tertinggal;sangat_tertinggal;total_desa
35;JAWA TIMUR;2800;3674;1247;0;0;7721
32;JAWA BARAT;1828;2553;930;0;0;5311
61;KALIMANTAN BARAT;877;547;606;16;0;2046
33;JAWA TENGAH;825;3646;3307;32;0;7810
14;RIAU;600;585;406;0;0;1591
51;BALI;502;132;2;0;0;636
73;SULAWESI SELATAN;471;873;757;162;3;2266
71;SULAWESI UTARA;407;622;453;25;0;1507
11;ACEH;400;1260;3984;804;49;6500
63;KALIMANTAN SELATAN;294;1074;501;2;0;1872
15;JAMBI;287;485;603;39;0;1414
34;DAERAH ISTIMEWA YOGYAKARTA;256;136;0;0;0;392
52;NUSA TENGGARA BARAT;252;480;282;7;0;1021
13;SUMATERA BARAT;226;486;298;25;0;1035
64;KALIMANTAN TIMUR;209;364;263;5;0;841
62;KALIMANTAN TENGAH;194;391;704;143;0;1432
18;LAMPUNG;181;1008;1253;4;0;2446
72;SULAWESI TENGAH;132;666;893;151;0;1842
16;SUMATERA SELATAN;100;733;1964;58;0;2855
19;KEPULAUAN BANGKA BELITUNG;98;188;23;0;0;309
75;GORONTALO;93;306;255;3;0;657
81;MALUKU;82;291;569;254;4;1200
12;SUMATERA UTARA;72;618;3131;1073;523;5417
17;BENGKULU;59;458;749;75;0;1341
65;KALIMANTAN UTARA;58;67;226;96;0;447
36;BANTEN;52;353;731;100;2;1238
53;NUSA TENGGARA TIMUR;27;355;1546;1131;78;3137
21;KEPULAUAN RIAU;24;100;151;0;0;275
76;SULAWESI BARAT;21;120;290;137;7;575
74;SULAWESI TENGGARA;16;316;1408;166;2;1908
82;MALUKU UTARA;8;87;477;450;45;1067
92;PAPUA BARAT;3;20;205;918;596;1742
91;PAPUA;2;35;373;391;147;948
93;PAPUA SELATAN;0;4;74;156;443;677
94;PAPUA TENGAH;0;2;88;313;769;1172
95;PAPUA PEGUNUNGAN;0;0;17;418;2182;2617
