id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
;15;JAMBI;1501;KARET;1244;KEPALA KELUARGA;2024
;15;JAMBI;1501;KELAPA SAWIT;40;KEPALA KELUARGA;2024
;15;JAMBI;1501;KELAPA DALAM;173;KEPALA KELUARGA;2024
;15;JAMBI;1501;KOPI ROBUSTA;7593;KEPALA KELUARGA;2024
;15;JAMBI;1501;KOPI ARABIKA;3246;KEPALA KELUARGA;2024
;15;JAMBI;1501;CASSIAVERA;13201;KEPALA KELUARGA;2024
;15;JAMBI;1501;KAKAO;424;KEPALA KELUARGA;2024
;15;JAMBI;1501;PINANG;675;KEPALA KELUARGA;2024
;15;JAMBI;1501;KOPI LIBERIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1502;KARET;51891;KEPALA KELUARGA;2024
;15;JAMBI;1502;KELAPA SAWIT;43318;KEPALA KELUARGA;2024
;15;JAMBI;1502;KELAPA DALAM;9100;KEPALA KELUARGA;2024
;15;JAMBI;1502;KOPI ROBUSTA;9584;KEPALA KELUARGA;2024
;15;JAMBI;1502;KOPI ARABIKA;14;KEPALA KELUARGA;2024
;15;JAMBI;1502;CASSIAVERA;2415;KEPALA KELUARGA;2024
;15;JAMBI;1502;KAKAO;2042;KEPALA KELUARGA;2024
;15;JAMBI;1502;PINANG;1463;KEPALA KELUARGA;2024
;15;JAMBI;1502;KOPI LIBERIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1503;KARET;33009;KEPALA KELUARGA;2024
;15;JAMBI;1503;KELAPA SAWIT;28403;KEPALA KELUARGA;2024
;15;JAMBI;1503;KELAPA DALAM;8922;KEPALA KELUARGA;2024
;15;JAMBI;1503;KOPI ROBUSTA;1111;KEPALA KELUARGA;2024
;15;JAMBI;1503;KOPI ARABIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1503;CASSIAVERA;441;KEPALA KELUARGA;2024
;15;JAMBI;1503;KAKAO;55;KEPALA KELUARGA;2024
;15;JAMBI;1503;PINANG;2852;KEPALA KELUARGA;2024
;15;JAMBI;1503;KOPI LIBERIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1504;KARET;20402;KEPALA KELUARGA;2024
;15;JAMBI;1504;KELAPA SAWIT;65146;KEPALA KELUARGA;2024
;15;JAMBI;1504;KELAPA DALAM;1921;KEPALA KELUARGA;2024
;15;JAMBI;1504;KOPI ROBUSTA;0;KEPALA KELUARGA;2024
;15;JAMBI;1504;KOPI ARABIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1504;CASSIAVERA;0;KEPALA KELUARGA;2024
;15;JAMBI;1504;KAKAO;199;KEPALA KELUARGA;2024
;15;JAMBI;1504;PINANG;404;KEPALA KELUARGA;2024
;15;JAMBI;1504;KOPI LIBERIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1505;KARET;8365;KEPALA KELUARGA;2024
;15;JAMBI;1505;KELAPA SAWIT;64954;KEPALA KELUARGA;2024
;15;JAMBI;1505;KELAPA DALAM;5795;KEPALA KELUARGA;2024
;15;JAMBI;1505;KOPI ROBUSTA;553;KEPALA KELUARGA;2024
;15;JAMBI;1505;KOPI ARABIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1505;CASSIAVERA;0;KEPALA KELUARGA;2024
;15;JAMBI;1505;KAKAO;885;KEPALA KELUARGA;2024
;15;JAMBI;1505;PINANG;1373;KEPALA KELUARGA;2024
;15;JAMBI;1505;KOPI LIBERIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1506;KARET;3369;KEPALA KELUARGA;2024
;15;JAMBI;1506;KELAPA SAWIT;32684;KEPALA KELUARGA;2024
;15;JAMBI;1506;KELAPA DALAM;19894;KEPALA KELUARGA;2024
;15;JAMBI;1506;KOPI ROBUSTA;0;KEPALA KELUARGA;2024
;15;JAMBI;1506;KOPI ARABIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1506;CASSIAVERA;0;KEPALA KELUARGA;2024
;15;JAMBI;1506;KAKAO;109;KEPALA KELUARGA;2024
;15;JAMBI;1506;PINANG;9407;KEPALA KELUARGA;2024
;15;JAMBI;1506;KOPI LIBERIKA;2432;KEPALA KELUARGA;2024
;15;JAMBI;1507;KARET;4259;KEPALA KELUARGA;2024
;15;JAMBI;1507;KELAPA SAWIT;12725;KEPALA KELUARGA;2024
;15;JAMBI;1507;KELAPA DALAM;22862;KEPALA KELUARGA;2024
;15;JAMBI;1507;KOPI ROBUSTA;0;KEPALA KELUARGA;2024
;15;JAMBI;1507;KOPI ARABIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1507;CASSIAVERA;0;KEPALA KELUARGA;2024
;15;JAMBI;1507;KAKAO;752;KEPALA KELUARGA;2024
;15;JAMBI;1507;PINANG;9330;KEPALA KELUARGA;2024
;15;JAMBI;1507;KOPI LIBERIKA;2697;KEPALA KELUARGA;2024
;15;JAMBI;1508;KARET;47123;KEPALA KELUARGA;2024
;15;JAMBI;1508;KELAPA SAWIT;26386;KEPALA KELUARGA;2024
;15;JAMBI;1508;KELAPA DALAM;13518;KEPALA KELUARGA;2024
;15;JAMBI;1508;KOPI ROBUSTA;694;KEPALA KELUARGA;2024
;15;JAMBI;1508;KOPI ARABIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1508;CASSIAVERA;119;KEPALA KELUARGA;2024
;15;JAMBI;1508;KAKAO;170;KEPALA KELUARGA;2024
;15;JAMBI;1508;PINANG;2550;KEPALA KELUARGA;2024
